Name,MemberId,DOB,MembershipStatus,MembershipPoints,PunchCard
Amelia,685582,12/3/2000,Gold,150,8
Bob,245718,1/11/1966,Ordinary,5,1
Cody,820215,20/1/1971,Silver,65,5
Diana,161505,12/7/1998,Ordinary,10,2
Earl,446066,9/9/2003,Ordinary,8,2
Frank,518722,29/4/1974,Silver,70,5
Garfield,609738,17/6/1951,Silver,80,6
Helen,390553,18/8/1988,Gold,200,10
Issac,512203,15/10/1995,Silver,50,7
Jordan,873873,5/5/1985,Ordinary,49,4
amelia,233233,16/7/2000,Ordinary,0,0
Ian,123456,22/9/2006,Ordinary,0,0
Dallas,001234,17/6/2006,Ordinary,0,0
Javier,654321,25/1/2024,Ordinary,0,0
Luck,111223,27/1/2006,Ordinary,0,0
